INSERT INTO sgr.persona ( id_persona, id_camposempleado, apellido, nombre, id_tipo_doc, doc, fnac, id_genero, id_sector, id_rol, id_nacionalidad, id_estadocivil, fbaja, id_entidad) VALUES (1,'1','SOLIZ','EMA','1','12345678','1981-01-01','1','1','4','1','5',DEFAULT,'2');
INSERT INTO sgr.persona ( id_persona, id_camposempleado, apellido, nombre, id_tipo_doc, doc, fnac, id_genero, id_sector, id_rol, id_nacionalidad, id_estadocivil, fbaja, id_entidad) VALUES (2,'1','RODAS','IDALIA','1','12345678','1981-01-01','1','1','4','1','5',DEFAULT,'2');
INSERT INTO sgr.persona ( id_persona, id_camposempleado, apellido, nombre, id_tipo_doc, doc, fnac, id_genero, id_sector, id_rol, id_nacionalidad, id_estadocivil, fbaja, id_entidad) VALUES (3,'1','VIERA','ALEJANDRA','1','12345678','1981-01-01','1','1','4','1','5',DEFAULT,'2');
INSERT INTO sgr.persona ( id_persona, id_camposempleado, apellido, nombre, id_tipo_doc, doc, fnac, id_genero, id_sector, id_rol, id_nacionalidad, id_estadocivil, fbaja, id_entidad) VALUES (4,'1','VERA','MARIA','1','12345678','1981-01-01','1','1','4','1','5',DEFAULT,'2');
INSERT INTO sgr.persona ( id_persona, id_camposempleado, apellido, nombre, id_tipo_doc, doc, fnac, id_genero, id_sector, id_rol, id_nacionalidad, id_estadocivil, fbaja, id_entidad) VALUES (5,'1','JARA','JORGE','1','12345678','1981-01-01','2','1','4','1','5',DEFAULT,'2');
INSERT INTO sgr.persona ( id_persona, id_camposempleado, apellido, nombre, id_tipo_doc, doc, fnac, id_genero, id_sector, id_rol, id_nacionalidad, id_estadocivil, fbaja, id_entidad) VALUES (6,'1','SERVIN','DIEGO','1','12345678','1981-01-01','2','1','4','1','5',DEFAULT,'2');
INSERT INTO sgr.persona ( id_persona, id_camposempleado, apellido, nombre, id_tipo_doc, doc, fnac, id_genero, id_sector, id_rol, id_nacionalidad, id_estadocivil, fbaja, id_entidad) VALUES (7,'1','RAMIREZ','ALEJANDRO','1','12345678','1981-01-01','2','1','4','1','5',DEFAULT,'2');
INSERT INTO sgr.persona ( id_persona, id_camposempleado, apellido, nombre, id_tipo_doc, doc, fnac, id_genero, id_sector, id_rol, id_nacionalidad, id_estadocivil, fbaja, id_entidad) VALUES (8,'1','CHEREY','MONICA','1','12345678','1981-01-01','1','2','4','1','5',DEFAULT,'2');
INSERT INTO sgr.persona ( id_persona, id_camposempleado, apellido, nombre, id_tipo_doc, doc, fnac, id_genero, id_sector, id_rol, id_nacionalidad, id_estadocivil, fbaja, id_entidad) VALUES (9,'1','INFRAIN','ELISA','1','12345678','1981-01-01','1','2','4','1','5',DEFAULT,'2');
INSERT INTO sgr.persona ( id_persona, id_camposempleado, apellido, nombre, id_tipo_doc, doc, fnac, id_genero, id_sector, id_rol, id_nacionalidad, id_estadocivil, fbaja, id_entidad) VALUES (10,'1','MERCENARO','ROXANA','1','12345678','1981-01-01','1','2','4','1','5',DEFAULT,'2');
INSERT INTO sgr.persona ( id_persona, id_camposempleado, apellido, nombre, id_tipo_doc, doc, fnac, id_genero, id_sector, id_rol, id_nacionalidad, id_estadocivil, fbaja, id_entidad) VALUES (11,'1','SCHIRO','LORENZO','1','12345678','1981-01-01','2','4','4','1','5',DEFAULT,'2');
INSERT INTO sgr.persona ( id_persona, id_camposempleado, apellido, nombre, id_tipo_doc, doc, fnac, id_genero, id_sector, id_rol, id_nacionalidad, id_estadocivil, fbaja, id_entidad) VALUES (12,'1','ROMERO','SILVIA','1','12345678','1981-01-01','1','5','4','1','5',DEFAULT,'2');
INSERT INTO sgr.persona ( id_persona, id_camposempleado, apellido, nombre, id_tipo_doc, doc, fnac, id_genero, id_sector, id_rol, id_nacionalidad, id_estadocivil, fbaja, id_entidad) VALUES (13,'1','CRESPO','LUZ','1','12345678','1981-01-01','1','5','4','1','5',DEFAULT,'2');
INSERT INTO sgr.persona ( id_persona, id_camposempleado, apellido, nombre, id_tipo_doc, doc, fnac, id_genero, id_sector, id_rol, id_nacionalidad, id_estadocivil, fbaja, id_entidad) VALUES (14,'1','DA LUZ','YESICA','1','12345678','1981-01-01','1','5','4','1','5',DEFAULT,'2');
INSERT INTO sgr.persona ( id_persona, id_camposempleado, apellido, nombre, id_tipo_doc, doc, fnac, id_genero, id_sector, id_rol, id_nacionalidad, id_estadocivil, fbaja, id_entidad) VALUES (15,'1','CARDOZO','DAIANA LORENA','1','12345678','1981-01-01','1','5','4','1','5',DEFAULT,'2');
